text,label
Ada orang sesak napas dan nyeri dada di depan rumah,heart attack or stroke emergency
Korban luka lecet di lutut setelah jatuh dari motor,minor medical issue
Luka bakar di tangan karena tersiram air panas,burn injury medical emergency
Kebocoran gas tercium di dapur rumah,gas leak hazmat emergency
Rumah kebakaran dan asap tebal terlihat dari jalan,fire rescue emergency
Something exploded inside the factory,explosion emergency
Tabung gas meledak keras di dapur,explosion emergency
The boiler blew up and there is a loud blast,explosion emergency
May malakas na pagsabog sa gusali,explosion emergency
Sumabog ang tangke malapit sa bahay,explosion emergency
Ada letupan kuat dan dentuman keras di pabrik,explosion emergency
Ada orang membawa senjata dan mengancam warga,police security emergency
Banjir besar masuk ke perkampungan,natural disaster
Ular masuk ke rumah warga dan tidak bisa ditangani sendiri,dangerous animal threat
Kucing terjebak di pohon dan butuh bantuan,animal rescue
Mobil tabrakan di jalan dan korban terluka,traffic accident
Orang pingsan dan tidak sadar setelah jatuh,medical emergency
Kecurian motor di parkiran mall,lost property non emergency
