text,label
"Patient not breathing after collapse","medical emergency"
"Severe chest pain and sweating","medical emergency"
"Child unconscious on the floor","medical emergency"
"Heavy bleeding from arm injury","medical emergency"
"Difficulty breathing and dizziness","medical emergency"
"Korban tidak sadar setelah jatuh","medical emergency"
"Pendarahan hebat setelah kecelakaan motor","medical emergency"
"Sesak napas dan nyeri dada","medical emergency"
"Elderly person collapsed and unresponsive","medical emergency"
"Broken leg with severe pain","medical emergency"
"Smoke coming from kitchen, fire spreading","fire rescue emergency"
"Building fire with people trapped inside","fire rescue emergency"
"Gas leak and sparks near warehouse","fire rescue emergency"
"Wildfire approaching residential area","fire rescue emergency"
"Kebakaran rumah dengan asap tebal","fire rescue emergency"
"Ledakan kecil di dapur dan api menyebar","fire rescue emergency"
"Fire alarm sounding and visible flames","fire rescue emergency"
"Api di gudang dan beberapa orang terjebak","fire rescue emergency"
"Forest fire near hiking trail","fire rescue emergency"
"Kitchen smoke and burning smell","fire rescue emergency"
"Armed person near school gate","police security emergency"
"Robbery at convenience store with knife","police security emergency"
"Gun threat reported in parking lot","police security emergency"
"Fight escalating into violent assault","police security emergency"
"Orang bersenjata di depan sekolah","police security emergency"
"Perampokan dengan senjata tajam","police security emergency"
"Pencurian motor sedang berlangsung","police security emergency"
"Vandalism and property damage at market","police security emergency"
"Hostage situation in apartment building","police security emergency"
"Threatening message and suspicious weapon","police security emergency"
"Earthquake damaged road and buildings","natural disaster"
"Flood water entering houses and streets","natural disaster"
"Tsunami warning and coastal evacuation","natural disaster"
"Landslide blocking the main road","natural disaster"
"Severe storm with falling trees","natural disaster"
"Gempa bumi membuat bangunan retak","natural disaster"
"Banjir bandang di desa dan jalan putus","natural disaster"
"Longsor menutup akses menuju kampung","natural disaster"
"Erupsi gunung meletus dengan abu tebal","natural disaster"
"Topan besar merobohkan atap rumah","natural disaster"
"Lost wallet at mall, no danger","lost property non emergency"
"Missing phone in cafe, please help find it","lost property non emergency"
"Lost backpack on bus route","lost property non emergency"
"Kehilangan dompet di pusat perbelanjaan","lost property non emergency"
"Handphone hilang di sekolah","lost property non emergency"
"Lost keys after shopping trip","lost property non emergency"
"Missing passport at hotel lobby","lost property non emergency"
"Tas hilang di halte bus","lost property non emergency"
"Lost glasses in office building","lost property non emergency"
"Kunci motor tertinggal di restoran","lost property non emergency"
